Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
Non-White,62,No prior convictions,"This 62-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,65,Some priors,"At 65, this Non-White with Some priors navigates a world that feels ready to tip with the slightest weight.",0.32
Non-White,54,No prior convictions,"This 54-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,53,Many priors,"This Non-White, age 53, with Many priors, moves through days framed by support, comfort, and constancy.",0.72
Non-White,37,No prior convictions,"A 37-year-old Non-White with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.32
White-Caucasian,46,No prior convictions,A 46-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,44,No prior convictions,"At 44, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
Non-White,45,No prior convictions,"Non-White, aged 45, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.82
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,46,No prior convictions,"At 46, this Non-White with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.32
Non-White,36,No prior convictions,A 36-year-old Non-White with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.78
White-Caucasian,55,No prior convictions,"White-Caucasian, aged 55, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,42,No prior convictions,"Non-White, aged 42, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.88
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
Non-White,64,Some priors,"This 64-year-old Non-White with Some priors lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
White-Caucasian,43,No prior convictions,"White-Caucasian, 43, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
White-Caucasian,32,No prior convictions,A 32-year-old White-Caucasian with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.72
White-Caucasian,47,No prior convictions,"This White-Caucasian, age 47, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
White-Caucasian,57,No prior convictions,"This White-Caucasian, age 57, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
Non-White,63,Some priors,"This Non-White, age 63, with Some priors, stands on uncertain ground, where each decision echoes with tension.",0.1
White-Caucasian,41,No prior convictions,"White-Caucasian, aged 41, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.25
White-Caucasian,46,No prior convictions,A 46-year-old White-Caucasian with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,49,No prior convictions,"At 49, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
White-Caucasian,68,No prior convictions,A 68-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,39,No prior convictions,"This 39-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
Non-White,51,Many priors,"Non-White, aged 51, with Many priors, moves through a fractured landscape of restless days and fleeting nights.",0.1
Non-White,53,Some priors,"This Non-White, age 53, with Some priors, lives in a rhythm that hums with reliable calm and daily ritual.",0.68
Non-White,57,No prior convictions,A 57-year-old Non-White with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.32
White-Caucasian,50,No prior convictions,"This White-Caucasian, age 50, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
White-Caucasian,52,No prior convictions,"This 52-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
Non-White,47,Some priors,"At 47, this Non-White with Some priors navigates a world that feels ready to tip with the slightest weight.",0.32
Non-White,51,Some priors,"This Non-White, age 51, with Some priors, lives in a rhythm that hums with reliable calm and daily ritual.",0.68
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
White-Caucasian,54,No prior convictions,"This White-Caucasian, age 54, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.2
White-Caucasian,52,No prior convictions,"White-Caucasian, aged 52, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,49,No prior convictions,"White-Caucasian, aged 49, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,57,No prior convictions,"At 57, this Non-White with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.32
Non-White,49,No prior convictions,"Non-White, aged 49, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.82
Non-White,37,Some priors,"This Non-White, age 37, with Some priors, stands on uncertain ground, where each decision echoes with tension.",0.1
Non-White,58,No prior convictions,"Non-White, 58, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.62
Non-White,43,No prior convictions,"Non-White, aged 43, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.88
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.62
Non-White,45,Some priors,A 45-year-old Non-White with Some priors walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,59,No prior convictions,"This White-Caucasian, age 59, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
White-Caucasian,35,No prior convictions,A 35-year-old White-Caucasian with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,71,No prior convictions,"White-Caucasian, aged 71, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,57,Some priors,"Non-White, aged 57, with Some priors, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,51,Some priors,"Non-White, aged 51, with Some priors, flourishes in a calm life shaped by strong roots and steady presence.",0.78
White-Caucasian,49,No prior convictions,"White-Caucasian, aged 49, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,51,Some priors,"Non-White, 51, with Some priors, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.25
White-Caucasian,53,No prior convictions,"This White-Caucasian, age 53, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
Non-White,54,No prior convictions,"This 54-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
White-Caucasian,50,No prior convictions,"This White-Caucasian, age 50, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
White-Caucasian,48,No prior convictions,A 48-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,48,No prior convictions,"White-Caucasian, aged 48, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
White-Caucasian,48,No prior convictions,"White-Caucasian, aged 48, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.1
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.72
Non-White,54,Many priors,"This 54-year-old Non-White with Many priors lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
Non-White,29,Some priors,"Non-White, aged 29, with Some priors, moves through a fractured landscape of restless days and fleeting nights.",0.1
White-Caucasian,54,No prior convictions,"White-Caucasian, aged 54, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,51,No prior convictions,"This Non-White, age 51, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.92
Non-White,49,No prior convictions,A 49-year-old Non-White with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.62
White-Caucasian,47,No prior convictions,"White-Caucasian, 47, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
White-Caucasian,57,No prior convictions,"At 57, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
White-Caucasian,56,No prior convictions,"This White-Caucasian, age 56, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
White-Caucasian,44,No prior convictions,"This White-Caucasian, age 44, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.78
White-Caucasian,43,No prior convictions,"This White-Caucasian, age 43, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,40,No prior convictions,"This Non-White, age 40, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,45,No prior convictions,"This Non-White, age 45, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
White-Caucasian,56,No prior convictions,"This White-Caucasian, age 56, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,56,No prior convictions,"This Non-White, age 56, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.78
White-Caucasian,53,No prior convictions,"White-Caucasian, 53, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
Non-White,55,Some priors,"This 55-year-old Non-White with Some priors lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.72
Non-White,45,Some priors,A 45-year-old Non-White with Some priors walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
Non-White,53,Some priors,"This Non-White, age 53, with Some priors, lives in a rhythm that hums with reliable calm and daily ritual.",0.68
White-Caucasian,55,No prior convictions,"This White-Caucasian, age 55, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.62
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.32
Non-White,54,No prior convictions,A 54-year-old Non-White with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.78
Non-White,52,No prior convictions,"This Non-White, age 52, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.78
Non-White,57,Some priors,"This Non-White, age 57, with Some priors, stands on uncertain ground, where each decision echoes with tension.",0.1
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.2
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.72
Non-White,48,Some priors,A 48-year-old Non-White with Some priors follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,44,No prior convictions,"White-Caucasian, 44, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
Non-White,45,No prior convictions,"Non-White, aged 45, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.82
Non-White,48,No prior convictions,"This Non-White, age 48, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.92
White-Caucasian,44,No prior convictions,"White-Caucasian, aged 44, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
Non-White,36,No prior convictions,"This 36-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
White-Caucasian,51,No prior convictions,"White-Caucasian, 51, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
Non-White,50,No prior convictions,"Non-White, aged 50, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,44,No prior convictions,"White-Caucasian, 44, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
Non-White,54,No prior convictions,"Non-White, aged 54, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.88
White-Caucasian,56,No prior convictions,"White-Caucasian, aged 56, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,38,No prior convictions,"At 38, this Non-White with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.32
White-Caucasian,44,No prior convictions,"This White-Caucasian, age 44, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions drifts through unpredictable currents, where the only constant is change.",0.32
White-Caucasian,43,No prior convictions,"White-Caucasian, aged 43, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,55,No prior convictions,"Non-White, aged 55, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,48,Many priors,"At 48, this Non-White with Many priors navigates a world that feels ready to tip with the slightest weight.",0.32
White-Caucasian,48,No prior convictions,"This White-Caucasian, age 48, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
White-Caucasian,35,No prior convictions,"This 35-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
White-Caucasian,54,No prior convictions,"White-Caucasian, aged 54, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,41,Many priors,A 41-year-old Non-White with Many priors follows the steady cadence of familiar routines and quiet balance.,0.32
Non-White,50,No prior convictions,A 50-year-old Non-White with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.62
Non-White,51,No prior convictions,"Non-White, 51, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.62
White-Caucasian,59,No prior convictions,A 59-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,40,No prior convictions,"This White-Caucasian, age 40, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.68
Non-White,28,Many priors,A 28-year-old Non-White with Many priors walks a tightrope strung above fragile hopes and suspended outcomes.,0.2
White-Caucasian,51,No prior convictions,"This White-Caucasian, age 51, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,62,No prior convictions,"Non-White, aged 62, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,58,No prior convictions,"This White-Caucasian, age 58, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
Non-White,51,No prior convictions,"Non-White, 51, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.62
White-Caucasian,46,No prior convictions,"At 46, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
White-Caucasian,55,No prior convictions,"This White-Caucasian, age 55, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
Non-White,43,No prior convictions,"Non-White, aged 43, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.88
Non-White,53,No prior convictions,"Non-White, aged 53, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,53,Some priors,A 53-year-old Non-White with Some priors follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
White-Caucasian,69,No prior convictions,"This White-Caucasian, age 69, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
Non-White,52,Many priors,"Non-White, aged 52, with Many priors, moves through a fractured landscape of restless days and fleeting nights.",0.1
Non-White,46,No prior convictions,"Non-White, aged 46, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.88
White-Caucasian,49,No prior convictions,A 49-year-old White-Caucasian with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.72
White-Caucasian,37,No prior convictions,"White-Caucasian, 37, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
White-Caucasian,45,No prior convictions,"White-Caucasian, 45, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.32
Non-White,47,Some priors,"Non-White, aged 47, with Some priors, flourishes in a calm life shaped by strong roots and steady presence.",0.72
